"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
survey_r_awards,grant_submission_survey,,checkbox,"For R Awards","1, Original | 2, Resubmission | 3, Original Summary Statements | 4, Resub Summary Statements | 5, Original Project Narrative | 6, Original Project Summary (Abstract) | 7, Original References | 8, Original Personnel | 9, Original Facilities/ Other Resources | 10, Original Equipment | 11, Original Biosketch | 12, Original Collabor-ator Biosketch | 13, Original Budget | 14, Original Budget Justification | 15, Original Letter(s) of Support | 16, Original Environment | 17, Original Specific Aims | 18, Original Research Strategy | 19, Original Human Subjects | 20, Original Women/ Minorities | 21, Original Children | 22, Original Planned Enrollment | 23, Original Vertebrate Animals | 24, Original Resource Sharing Plan | 25, Original Multi-PI Leadership Plan | 26, Original Consortium and Contract | 27, Original R61 Go/No-Go and R33 Spec. Aims | 48, Original Authentication of Key Biological and/or Chemical Resources | 28, Introduction | 53, Resub Project Narrative | 29, Resub Project Summary | 30, Resub References | 31, Resub Personnel | 32, Resub Facilities/ Other Resources | 33, Resub Equipment | 34, Resub Biosketch | 35, Resub Collabor-ator Biosketch | 36, Resub Budget | 37, Resub Budget Justification | 38, Resub Letter of Support | 39, Resub Environment | 40, Resub Specific Aims | 41, Resub Research Strategy | 42, Resub Human Subjects | 43, Resub Women/ Minorities | 44, Resub Children | 45, Resub Planned Enrollment | 46, Resub Vertebrate Animals | 47, Resub Resource Sharing Plan | 49, Resub Multi-PI Leadership Plan | 50, Resub Consortium and Contract | 51, Resub R61 Go/No-Go and R33 Spec. Aims | 52, Resub Authentication of Key Biological and/or Chemical Resources",,,,,,"[survey_grants_type] = '2'",,LV,,,,
survey_f_awards,grant_submission_survey,,checkbox,"For F Awards","1, Original | 2, Resubmission | 3, Original Summary Statements | 4, Resub Summary Statements | 5, Cover Letter | 6, Project Summary | 7, Project Narrative | 8, Bibliography | 9, Facilities and Other Resources | 10, Equipment | 11, Fellowship Applicant Biographical Sketch | 12, Sponsor/Co-sponsor(s)/Collaborator(s) Biographical Sketch(es) | 13, Applicant Background and Goals for Fellowship | 14, Specific Aims | 15, Research Strategy | 16, Selection of Sponsor and Institution | 17, Responsible Conduct of Research | 18, Sponsor and Co-Sponsor Information | 19, Letters of Support from Collaborators | 20, Institutional Environment | 21, Resource Sharing Plan | 22, Introduction to Resubmission",,,,,,"[survey_grants_type] = '3'",,LV,,,,
survey_misc_awards,grant_submission_survey,,checkbox,"For Miscellaneous Awards","1, Original | 2, Resubmission | 3, Original Project Narrative | 4, Original Project Summary (Abstract) | 5, Original Justification of Need | 6, Original References | 7, Original Facilities/ Other Resources | 8, Original Equipment | 9, Original Biosketch | 10, Original Key Person Profiles | 11, Original Budget | 12, Original Budget Justification | 13, Original Letter(s) of Support | 14, Original Environment | 15, Original Specific Aims | 16, Original Research Strategy | 17, Original Human Subjects | 18, Original Women/ Minorities | 19, Original Children | 20, Original Planned Enrollment | 21, Original Resource Sharing Plan | 22, Original Summary Statements | 23, Introduction | 24, Resub Justification of Need | 43, Resub Project Narrative | 25, Resub Project Summary | 26, Resub References | 27, Resub Facilities/ Other Resources | 28, Resub Equipment | 29, Resub Biosketch | 30, Resub Key Person Profiles | 31, Resub Budget | 32, Resub Budget Justification | 33, Resub Letter of Support | 34, Resub Environment | 35, Resub Specific Aims | 36, Resub Research Strategy | 37, Resub Human Subjects | 38, Resub Women/ Minorities | 39, Resub Children | 40, Resub Planned Enrollment | 41, Resub Resource Sharing Plan | 42, Resub Summary Statements",,,,,,"[survey_grants_type] = '99'",,LV,,,,
survey_lrp_awards,grant_submission_survey,,checkbox,"For LRP Awards","1, Original | 2, Resubmission | 3, Biosketch | 4, Mentor Biosketch | 5, Biosketch (Additional) | 6, Personal Statement | 7, Career Development Plan | 8, Research Activities | 9, Research Plan (Old Style) | 10, Research Environment | 11, Training/Mentoring Plan | 12, Accomplishments | 13, Renewal Personal Statement | 14, Renewal Activities",,,,,,"[survey_grants_type] = '4'",,LV,,,,
survey_va_merit_awards,grant_submission_survey,,checkbox,"For VA Merit (I01)","1, Original | 2, Resubmission | 3, Original Project Narrative | 4, Original Project Summary (Abstract) | 5, Original References | 6, Original Facilities/ Other Resources | 7, Original Equipment | 8, Original Biosketch | 9, Original Collabor-ator Biosketch | 10, Original Budget | 11, Original Budget Justification | 12, Original Letter(s) of Support | 13, Original Environment | 14, Original Specific Aims | 15, Original Research Strategy | 16, Original Human Subjects | 17, Original Women/ Minorities | 18, Original Children | 19, Original Planned Enrollment | 20, Original Resource Sharing Plan | 21, Original Summary Statements | 22, Introduction | 23, Resub Project Summary | 24, Resub References | 25, Resub Facilities/ Other Resources | 26, Resub Equipment | 27, Resub Biosketch | 28, Resub Collabor-ator Biosketch | 29, Resub Budget | 30, Resub Budget Justification | 31, Resub Letter of Support | 32, Resub Environment | 33, Resub Specific Aims | 34, Resub Research Strategy | 35, Resub Human Subjects | 36, Resub Women/ Minorities | 37, Resub Children | 38, Resub Planned Enrollment | 39, Resub Resource Sharing Plan | 40, Resub Summary Statements",,,,,,"[survey_grants_type] = '5'",,LV,,,,
grants_title,grants,,text,"Grants Title",,,,,,,,,,,,,
grants_number,grants,,text,"Grant #",,,,,,,,,,,,,
pi_fname,grants,,text,"PI First Name",,,,,,,,,,,,,
pi_lname,grants,,text,"PI Last Name",,,,,,,,,,,,,
pi_netid,grants,,text,"PI Yale NetID",,,,,,,,,,,,,
pi_title,grants,,dropdown,"PI Title","1, Professor | 2, Associate Professor | 3, Assistant Professor | 4, Instructor | 5, Senior Research Scientist | 6, Research Scientist | 7, Associate Research Scientist | 8, Postdoctoral Fellow/ Associate | 9, Clinical Fellow | 10, Resident | 11, Graduate Student | 12, MD Student | 13, MD/ PhD Student | 14, School of Nursing Student | 15, School of Public Health Student | 16, Undergraduate Student | 99, Other",,autocomplete,,,,,,,,,,
pi_title_other,grants,,text,"Specify Other Title",,,,,,,"[pi_title] = 99",,,,,,
pi_department,grants,,dropdown,Department,"1, Anesthesiology | 2, Biological and Biomedical Sciences | 3, Cell Biology | 4, Cellular and Molecular Physiology | 5, Chemistry | 6, Child Study Center | 7, Comparative Medicine | 8, Dermatology | 9, Emergency Medicine | 10, Genetics | 11, Immunobiology | 12, Internal Medicine | 13, Laboratory Medicine | 14, Microbial Pathogenesis | 15, Molecular Biophysics and Biochemistry | 16, Molecular, Cellular and Developmental Biology | 17, Neurology | 18, Neuroscience | 19, Neurosurgery | 20, Obstetrics, Gynecology and Reproductive Sciences | 21, Ophthalmology and Visual Science | 22, Orthopaedics and Rehabilitation | 23, Pathology | 24, Pediatrics | 25, Pharmacology | 26, Psychiatry | 27, Radiology and Biomedical Imaging | 28, School of Engineering and Applied Science | 29, School of Nursing | 30, School of Public Health | 31, Surgery | 32, Therapeutic Radiology | 33, Urology | 34, Yale Cancer Center | 99, Other",,autocomplete,,,,,,,,,,
pi_department_other,grants,,text,"Specify Other Department",,,,,,,"[pi_department] = 99",,,,,,
funding_agency,grants,,dropdown,"Funding Agency","1, Agency for Healthcare Research and Quality's (AHRQ) | 2, Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) | 3, Fogarty International Center (FIC) | 4, National Cancer Institute (NCI) | 5, National Center for Advancing Translational Sciences (NCATS) | 6, National Center for Complementary and Integrative Health (NCCIH) | 7, National Eye Institute (NEI) | 8, National Heart, Lung, and Blood Institute (NHLBI) | 9, National Human Genome Research Institute (NHGRI) | 10, National Institute of Allergy and Infectious Diseases (NIAID) | 11, National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) | 12, National Institute of Biomedical Imaging and Bioengineering (NIBIB) | 13, National Institute of Dental and Craniofacial Research (NIDCR) | 14, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) | 15, National Institute of Environmental Health Sciences (NIEHS) | 16, National Institute of General Medical Sciences (NIGMS) | 17, National Institute of Mental Health (NIMH) | 18, National Institute of Neurological Disorders and Stroke (NINDS) | 19, National Institute of Nursing Research (NINR) | 20, National Institute on Aging (NIA) | 21, National Institute on Alcohol Abuse and Alcoholism (NIAAA) | 22, National Institute on Deafness and Other Communication Disorders (NIDCD) | 23, National Institute on Drug Abuse (NIDA) | 24, National Institute on Minority Health and Health Disparities (NIMHD) | 25, NIH Office of the Director (OD) | 26, Veteran Affairs",,autocomplete,,,,,,,,,,
research_type,grants,,dropdown,"Research Type","0, T0 | 1, T1 | 2, T2 | 3, T3 | 4, T4",,,,,,,,,,,,
nih_submission_number,grants,,dropdown,"NIH Submission Number","1, Original Submission | 2, First Resubmission | 3, Second Resubmission | 4, Third Resubmission | 5, Competing Renewal",,,,,,,,,,,,
nih_score,grants,,text,"NIH Score",,,,,,,,,,,,,
grants_abstract,grants,,notes,Abstract,,,,,,,,,,,,,
project_terms,grants,,notes,"Project Terms",,,,,,,,,,,,,
grants_comments,grants,,notes,Comments,,,,,,,,,,,,,
grants_file,grants,,file,"Grant File",,,,,,,,,,,,,
human_subjects_yn,grants,,yesno,"Does this proposal include Human Subjects?",,,,,,,,,,,,,
vertebrate_animals_yn,grants,,yesno,"Does this proposal include Vertebrate Animals?",,,,,,,,,,,,,
grant_award_date,grants,,text,"Grant Award Date",,,date_mdy,,,,,,,,,,
nih_funding_type,grants,,dropdown,"NIH Funding Type","NA, Not NIH | DP1, DP1 - NIH Director's Pioneer Award (NDPA) | DP2, DP2 - NIH Director's New Innovator Awards | DP3, DP3 - Type 1 Diabetes Targeted Research Award | DP4, DP4 - NIH Director's Pathfinder Award - Multi-Yr Funding | DP5, DP5 - Early Independence Award | DP7, DP7 - NIH Director's Workforce Innovation Award | F05, F05 - International Research Fellowships (FIC) | F30, F30 - Individual Predoctoral NRSA for M.D./Ph.D. Fellowships | F31, F31 - Predoctoral Individual National Research Service Award | F32, F32 - Postdoctoral Individual National Research Service Award | F33, F33 - National Research Service Awards for Senior Fellows | F37, F37 - Medical Informatics Fellowships | F38, F38 - Applied Medical Informatics Fellowships | F99, F99 - Pre-doc to Post-doc Transition Award | FI2, FI2 - Intramural Postdoctoral Research Associate | K00, K00 - Post-doctoral Transition Award | K01, K01 - Research Scientist Development Award - Research & Training | K02, K02 - Research Scientist Development Award - Research | K05, K05 - Research Scientist Award | K06, K06 - Research Career Awards | K07, K07 - Academic/Teacher Award (ATA) | K08, K08 - Clinical Investigator Award (CIA) | K12, K12 - Physician Scientist Award (Program) (PSA) | K14, K14 - Minority School Faculty Development Awards | K18, K18 - The Career Enhancement Award | K21, K21 - Scientist Development Award | K22, K22 - Career Transition Award | K23, K23 - Mentored Patient-Oriented Research Career Development Award | K24, K24 - Midcareer Investigator Award in Patient-Oriented Research | K25, K25 - Mentored Quantitative Research Career Development Award | K26, K26 - Midcareer Investigator Award in Biomedical and Behavioral Research | K30, K30 - Clinical Research Curriculum Award (CRCA) | K38, K38 - Early Stage Mentored Research and Career Development | K43, K43 - International Research Career Development Award | K76, K76 - Emerging Leaders Career Development Award | K99, K99 - Career Transition Award | L30, L30 - Loan Repayment Program for Clinical Researchers | L32, L32 - Loan Repayment Program for Clinical Researchers from Disadvantaged Backgrounds | L40, L40 - Loan Repayment Program for Pediatric Research | L50, L50 - Loan Repayment Program for Contraception and Infertility Research | L60, L60 - Loan Repayment Program for Health Disparities Research | R00, R00 - Research Transition Award | R01, R01 - Research Project | R03, R03 - Small Research Grants | R21, R21 - Exploratory/Developmental Grants | 999, Other",,autocomplete,,,,,,,,,,
nih_funding_type_other,grants,,text,"Specify Other NIH Funding Type",,,,,,,"[nih_funding_type] = 999",,,,,,
grant_sections,grants,,checkbox,Sections,"1, Accomplishments | 2, Activities | 3, Applicant Background and Goals for Fellowship | 4, Authentication of Key Biological and/or Chemical Resources | 5, Biosketch Collaborator | 6, Biosketch Co-PI | 7, Biosketch Fellowship Applicant | 8, Biosketch Mentor | 9, Biosketch PI | 10, Budget | 11, Budget Justification | 12, Candidate Background | 13, Career Development Plan | 14, Career Goals/ Objectives | 15, Consortium and Contract | 16, Cover Letter | 17, Environment | 18, Equipment | 19, Facilities and Other Resources | 20, Human Subjects | 21, Institutional Environment | 22, Introduction | 23, Justification of Need | 24, Key Person Profiles | 25, Letter of Support Chair | 26, Letters of Support | 27, Letters of Support Collaborators | 28, Letters of Support Mentor | 29, Multi-PI Leadership Plan | 30, Personal Statement | 31, Personnel | 32, Planned Enrollment | 33, Project Narrative | 34, Project Summary (Abstract) | 35, References | 36, Research Activities | 37, Research Environment | 38, Research Strategy | 39, Resource Sharing Plan | 40, Responsible Conduct of Research | 41, Selection of Sponsor and Institution | 42, Specific Aims | 43, Sponsor and Co-Sponsor Information | 44, Summary Statements | 45, Training/Mentoring Plan | 46, Vertebrate Animals | 47, Women/ Minorities",,,,,,,,,,,,
grant_visibility,grants,,dropdown,"Should the Grant be visible in the database?","0, Not Visible | 1, Visible to Admins only | 2, Visible to Admins and the PI/Author | 3, Visible to Everyone",,,,,,,,,,,,
grants_visibility_expiration,grants,,text,"<div class=""rich-text-field-label""><p>Grant Visibility Expiration Date</p></div>",,"Grants will disappear from the Grants Table after this date",date_mdy,,,,,,,,,,
grant_visibility_embargo,grants,,text,"Grant Visibility Embargo",,"Grant will remain hidden in Grants Table until this date",date_mdy,,,,,,,,,,
