"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
research_type,grants,,checkbox,"Research Type","0, T0 | 1, T1 | 2, T2 | 3, T3 | 4, T4",,,,,,,,,,,,
nih_submission_number,grants,,checkbox,"NIH Submission Number","1, Original A0 Submission | 2, Resubmission A1",,,,,,,,,,,," @DEFAULT=""[survey_nih_submission_number:value]"""
nih_score,grants,,text,"NIH Score",,,,,,,,,,,,," @DEFAULT=""[survey_nih_score]"""
pi_assent_ao,grants,,yesno,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">If this is a resubmission</span>, did the PI assent to including the original A0 grant in the database?</p></div>",,,,,,,,,,,,," @DEFAULT=""[allow_grant_a0_yn:value]"""
nih_score_a0,grants,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">If this is a resubmission,</span> what was the NIH Score for the original A0 submission?</p></div>",,,,,,,,,,,,," @DEFAULT=""[survey_nih_score_a0]"""
grants_abstract,grants,,notes,Abstract,,,,,,,,,,,,,
project_terms,grants,,notes,"Project Terms",,,,,,,,,,,,,
grants_comments,grants,,notes,Comments,,,,,,,,,,,,,
grants_file,grants,,file,"Grant File",,,,,,,,,,,,,
human_subjects_yn,grants,,yesno,"Does this proposal include Human Subjects?",,,,,,,,,,,,,
vertebrate_animals_yn,grants,,yesno,"Does this proposal include Vertebrate Animals?",,,,,,,,,,,,,
grant_award_date,grants,,text,"Grant Award Date",,,date_mdy,,,,,,,,,,
nih_funding_type,grants,,dropdown,"NIH Funding Type","NA, Not NIH | DP1, DP1 - NIH Director's Pioneer Award (NDPA) | DP2, DP2 - NIH Director's New Innovator Awards | DP3, DP3 - Type 1 Diabetes Targeted Research Award | DP4, DP4 - NIH Director's Pathfinder Award - Multi-Yr Funding | DP5, DP5 - Early Independence Award | DP7, DP7 - NIH Director's Workforce Innovation Award | F05, F05 - International Research Fellowships (FIC) | F30, F30 - Individual Predoctoral NRSA for M.D./Ph.D. Fellowships | F31, F31 - Predoctoral Individual National Research Service Award | F32, F32 - Postdoctoral Individual National Research Service Award | F33, F33 - National Research Service Awards for Senior Fellows | F37, F37 - Medical Informatics Fellowships | F38, F38 - Applied Medical Informatics Fellowships | F99, F99 - Pre-doc to Post-doc Transition Award | FI2, FI2 - Intramural Postdoctoral Research Associate | K00, K00 - Post-doctoral Transition Award | K01, K01 - Research Scientist Development Award - Research & Training | K02, K02 - Research Scientist Development Award - Research | K05, K05 - Research Scientist Award | K06, K06 - Research Career Awards | K07, K07 - Academic/Teacher Award (ATA) | K08, K08 - Clinical Investigator Award (CIA) | TK12, K12 - Physician Scientist Award (Program) (PSA) | K14, K14 - Minority School Faculty Development Awards | K18, K18 - The Career Enhancement Award | K21, K21 - Scientist Development Award | K22, K22 - Career Transition Award | K23, K23 - Mentored Patient-Oriented Research Career Development Award | K24, K24 - Midcareer Investigator Award in Patient-Oriented Research | K25, K25 - Mentored Quantitative Research Career Development Award | K26, K26 - Midcareer Investigator Award in Biomedical and Behavioral Research | K30, K30 - Clinical Research Curriculum Award (CRCA) | K38, K38 - Early Stage Mentored Research and Career Development | K43, K43 - International Research Career Development Award | K76, K76 - Emerging Leaders Career Development Award | K99, K99 - Career Transition Award | L30, L30 - Loan Repayment Program for Clinical Researchers | L32, L32 - Loan Repayment Program for Clinical Researchers from Disadvantaged Backgrounds | L40, L40 - Loan Repayment Program for Pediatric Research | L50, L50 - Loan Repayment Program for Contraception and Infertility Research | L60, L60 - Loan Repayment Program for Health Disparities Research | R00, R00 - Research Transition Award | R01, R01 - Research Project | R03, R03 - Small Research Grants | R21, R21 - Exploratory/Developmental Grants | T01, T01- Graduate Training Program | T02, T02 - Undergraduate Training Program | T09, T09 - Scientific Evaluation | T14, T14 - Conferences | T15, T15 - Continuing Education Training Grants | T32, T32 - Institutional National Research Service Award | T34, T34 - Undergraduate NRSA Institutional Research Training Grants | T35, T35 - NRSA Short -Term Research Training | T37, T37 - Minority International Research Training Grants (FIC) | T42, T42 - Educational Resource Center Training Grants | T90, T90 - Interdisciplinary Research Training Award | TL4, TL4 - Undergraduate NRSA Institutional Research Training Grants | 999, Other",,autocomplete,,,,,,,,,,
nih_funding_type_other,grants,,text,"Specify Other NIH Funding Type",,,,,,,"[nih_funding_type] = 999",,,,,,
grant_sections,grants,,checkbox,Sections,"1, Accomplishments | 2, Activities | 3, Applicant Background and Goals for Fellowship | 4, Authentication of Key Biological and/or Chemical Resources | 5, Biosketch Collaborator | 6, Biosketch Co-PI | 7, Biosketch Fellowship Applicant | 8, Biosketch Mentor | 9, Biosketch PI | 10, Budget | 11, Budget Justification | 12, Candidate Background | 13, Career Development Plan | 14, Career Goals/ Objectives | 15, Consortium and Contract | 16, Cover Letter | 17, Environment | 18, Equipment | 19, Facilities and Other Resources | 20, Human Subjects | 21, Institutional Environment | 22, Introduction | 23, Justification of Need | 24, Key Person Profiles | 25, Letter of Support Chair | 26, Letters of Support | 27, Letters of Support Collaborators | 28, Letters of Support Mentor | 29, Multi-PI Leadership Plan | 30, Personal Statement | 31, Personnel | 32, Planned Enrollment | 33, Project Narrative | 34, Project Summary (Abstract) | 35, References | 36, Research Activities | 37, Research Environment | 38, Research Strategy | 39, Resource Sharing Plan | 40, Responsible Conduct of Research | 41, Selection of Sponsor and Institution | 42, Specific Aims | 43, Sponsor and Co-Sponsor Information | 44, Summary Statements | 45, Training/Mentoring Plan | 46, Vertebrate Animals | 47, Women/ Minorities",,,,,,,,,,,,
pi_assent,grants,,yesno,"Did the PI assent to including the grant in the database?",,,,,,,,,,,,," @DEFAULT=""[allow_grant_yn:value]"""
grant_visibility,grants,,dropdown,"Should the Grant be visible in the database?","0, Not Visible | 1, Visible to Admins only | 2, Visible to Admins and the PI/Author | 3, Visible to Everyone",,,,,,,,,,,,
grants_visibility_expiration,grants,,text,"<div class=""rich-text-field-label""><p>Grant Visibility Expiration Date</p></div>",,"Grants will disappear from the Grants Table after this date",date_mdy,,,,,,,,,,
grant_visibility_embargo,grants,,text,"Grant Visibility Embargo Date",,"Grant will remain hidden in Grants Table until this date",date_mdy,,,,,,,,,,
